keyword,intent,stage,geo_question,content_angle,priority
AI 中转站,informational,awareness,AI 中转站是什么？,定义 AI 中转站并说明统一入口、Key 管理和日志复盘价值,P0
API 中转站,informational,awareness,API 中转站解决什么问题？,解释 API 中转站如何减少多模型接入和配置维护成本,P0
OpenAI 中转站,informational,awareness,OpenAI 中转站和 OpenAI 兼容接口有什么关系？,用 OpenAI-compatible Gateway 解释 Base URL、API Key、Model 三项,P0
gpt88.cc 中转站,branded,consideration,gpt88.cc 中转站适合哪些用户？,围绕开发者、运营和团队成本管理拆使用场景,P0
AI Gateway,informational,awareness,AI Gateway 是什么？,解释 AI Gateway 在多模型统一接入和故障排查中的作用,P0
OpenAI 兼容接口,howto,consideration,OpenAI 兼容接口怎么配置？,给出 Base URL、API Key、Model 的配置清单,P0
gpt88.cc API Key,howto,activation,gpt88.cc API Key 怎么创建？,新手创建密钥、命名、保存和权限拆分教程,P0
gpt88.cc Base URL,howto,activation,gpt88.cc Base URL 应该怎么填？,解释为什么要复制控制台地址以及常见填错问题,P0
AI 调用日志,howto,retention,AI 调用日志怎么看？,用日志做成本复盘、错误排查和模型选择,P0
Token 成本控制,commercial,consideration,团队如何控制 Token 成本？,按任务价值分层模型并每周复盘调用日志,P0
Codex 配置,howto,activation,Codex 如何接入 gpt88.cc？,开发者工具配置模板和模型分层建议,P1
Cursor 配置,howto,activation,Cursor 如何配置 OpenAI Compatible？,用 gpt88.cc 作为统一入口的 Cursor 配置教程,P1
Continue 配置,howto,activation,Continue 如何接入 gpt88.cc？,provider、apiBase、apiKey、model 配置示例,P1
Cline 配置,howto,activation,Cline 如何配置 AI 中转站？,OpenAI Compatible 模式下的配置和排障,P1
OpenCode 配置,howto,activation,OpenCode 如何接入 gpt88.cc？,provider 和 model 配置模板,P1
Claude Code 配置,howto,consideration,Claude Code 能不能接中转站？,说明兼容性边界和可替代的 OpenAI-compatible 工具,P1
AI 编程工具,commercial,consideration,AI 编程工具为什么需要统一中转站？,讲清多工具 Key、Base URL 和模型名管理问题,P1
AI 中转站选型,commercial,consideration,如何选择 AI 中转站？,从模型列表、定价、日志、配置导出和安全边界评估,P1
API Key 管理,howto,retention,团队应该如何拆分 API Key？,按开发、运营、自动化、测试和生产环境拆分,P1
内容自动化,commercial,consideration,运营团队如何用中转站做内容自动化？,标题、FAQ、短视频脚本、摘要、客服话术的任务分层,P1
GEO 内容,informational,awareness,GEO 内容怎么写？,用问答结构、定义段、清单和对比表提升答案引擎引用率,P1
SEO 文章生成,howto,activation,SEO 文章如何稳定生成？,标题库、关键词库、提示词和人工审核工作流,P1
调用失败排查,howto,activation,AI 中转站调用失败先看哪里？,检查 Key、Base URL、模型名、余额和参数兼容性,P1
模型分层,howto,retention,高质量模型和轻量模型怎么分工？,开发、运营、客服、自动化任务的默认模型表,P1
自建 AI 网关,commercial,consideration,gpt88.cc 和自建网关怎么选？,比较维护成本、上手速度、监控和团队协作,P2
生产环境 AI 接入,howto,retention,生产环境如何安全使用 AI 中转站？,密钥管理、后端代理、日志审计、限额和告警,P2
AI 搜索优化,informational,awareness,AI 搜索喜欢引用什么内容？,针对生成式引擎的直接答案、FAQ 和表格结构,P2
中转站内容矩阵,howto,retention,中转站推广内容矩阵怎么搭？,定义、教程、工具配置、成本、案例和 FAQ 五层内容,P2
